dataset_id,record_id,ground_truth,doi,pmid,year,duplicate_group,duplicate_status,abstract_index_gap_n,title_present,abstract_present,jev_decision,p_include,p_exclude,latency_ms,model,api_status,prompt_version,prompt_sha256,tfidf_score,tfidf_rank_pct,bm25_score,bm25_z,bm25_rank_pct,minilm_score,minilm_rank_pct,lexical_jaccard,query_coverage,title_query_coverage,doc_token_count,title_token_count,abstract_missing,log_doc_token_count,log_title_token_count,lr_loro_p_include,lr_loro_decision,lr_training_n,lr_training_positive_n
Bos_2018,https://openalex.org/W2560771632,0,https://doi.org/10.1017/s1041610216002118,https://pubmed.ncbi.nlm.nih.gov/27938433,2017,,unique,0,True,True,exclude,0.0,1.0,605.2722700005688,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0382781369090384,0.9325404962066844,278.1237469255507,1.0439798928797952,0.9276194381792086,0.7528993,0.9913881484519173,0.159533073929961,0.2992700729927007,0.0802919708029197,161,21,0,5.087596335232384,3.091042453358316,0.6750271835167156,include,12313.0,382.0
Bos_2018,https://openalex.org/W2617011497,0,https://doi.org/10.5603/nmr.2017.0019,https://pubmed.ncbi.nlm.nih.gov/30900240,2017,,unique,0,True,True,exclude,0.0,1.0,334.33954999782145,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0023085479469674,0.0032807053516506,206.0750050418572,-1.0327797999525192,0.0828378101291777,0.43419087,0.2007381587041214,0.0684931506849315,0.1094890510948905,0.0145985401459854,97,10,0,4.584967478670572,2.3978952727983707,0.0619000414264666,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2417839114,0,,https://pubmed.ncbi.nlm.nih.gov/1463803,1992,,unique,0,True,True,exclude,0.0,1.0,434.3373420015269,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0207534231401973,0.6614722165265532,269.1757934680769,0.7860607594156918,0.850112774246463,0.6801312,0.9224933360672544,0.1183673469387755,0.2116788321167883,0.0364963503649635,137,8,0,4.927253685157205,2.19722457733622,0.2689652273350964,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2403995777,0,https://doi.org/10.2174/1567205013666151116125349,https://pubmed.ncbi.nlm.nih.gov/26567744,2016,,unique,0,True,True,exclude,0.0,1.0,362.14523399939935,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0303216472648377,0.8618002870617183,282.3478359744606,1.1657366043276047,0.9511995078941972,0.48046005,0.319868771785934,0.1273885350318471,0.291970802919708,0.0437956204379562,217,19,0,5.384495062789089,2.995732273553991,0.4501878440716605,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2085884534,0,https://doi.org/10.1016/j.atherosclerosis.2014.02.003,https://pubmed.ncbi.nlm.nih.gov/24607853,2014,,unique,0,True,True,exclude,0.0,1.0,319.5341290011129,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0253823288226484,0.7826532704531475,251.658993412393,0.2811500093880004,0.5921673159729341,0.5242155,0.4605290137379537,0.1365461847389558,0.2481751824817518,0.0291970802919708,146,11,0,4.990432586778736,2.4849066497880004,0.2751194703728135,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2412334141,0,,https://pubmed.ncbi.nlm.nih.gov/17453096,2007,,unique,0,True,True,exclude,0.0,1.0,371.0377459992742,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.026942335242292,0.8144351035472627,276.83166585172256,1.0067364681669897,0.918187410293213,0.54327726,0.5247078121796186,0.1701244813278008,0.2992700729927007,0.0291970802919708,145,13,0,4.983606621708336,2.639057329615259,0.2841562296982492,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2488932083,0,https://doi.org/10.1016/j.jns.2016.08.012,https://pubmed.ncbi.nlm.nih.gov/27653876,2016,,unique,0,True,True,exclude,0.0,1.0,574.2280810009106,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0189373356330619,0.6005741234365388,233.5267950223935,-0.2414992107687856,0.3003895837605085,0.49158138,0.3549313102316998,0.1220657276995305,0.1897810218978102,0.0291970802919708,102,11,0,4.634728988229636,2.4849066497880004,0.1845002044876239,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W1977871877,0,https://doi.org/10.1016/j.neulet.2012.05.033,https://pubmed.ncbi.nlm.nih.gov/22617636,2012,,unique,0,True,True,exclude,0.0,1.0,379.3578090007941,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0243712986964542,0.761943817920853,266.5330084721467,0.7098841432406354,0.8177158088989133,0.4413484,0.2173467295468525,0.1265822784810126,0.218978102189781,0.0583941605839416,130,20,0,4.875197323201151,3.044522437723423,0.4651227834047271,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W2287589399,0,,https://pubmed.ncbi.nlm.nih.gov/9619072,1998,,unique,0,True,True,exclude,0.0,1.0,361.8717050012492,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0177865486186356,0.5509534549928234,219.46903874270663,-0.6467051984103482,0.1484519171621898,0.5840176,0.6760303465245028,0.105726872246696,0.1751824817518248,0.0364963503649635,114,15,0,4.74493212836325,2.772588722239781,0.2199498014974253,exclude,12313.0,382.0
Bos_2018,https://openalex.org/W1968659053,0,https://doi.org/10.2478/s13380-013-0141-2,,2013,,unique,0,True,True,exclude,0.0,1.0,320.11328500084346,jev-1.13.0,success,JEV_SCREEN_V1_2026-09-21,4f249815241aa09ca3ba01de4d56e0e7ad0754397f15462baee68a3c9a3c9091,0.0088272163220072,0.1181053926594217,47.12490110894143,-5.614416625093214,0.0065614107033012,0.54976654,0.5499282345704326,0.0419580419580419,0.0437956204379562,0.0437956204379562,12,11,0,2.5649493574615367,2.4849066497880004,0.9529359918623996,include,12313.0,382.0
